                 lexeme	                 lineno	              tokenName	          valueIfNumber	       parentNodeSymbol	             isLeafNode	             NodeSymbol	                 ruleNo	

                  _sumN	                      4	               TK_FUNID	                   ----	               function	                    yes	                   ----	                      0
                    int	                      4	                 TK_INT	                   ----	              input_par	                    yes	                   ----	                      0
                 d5cc34	                      4	                  TK_ID	                   ----	              input_par	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                     31	                     no	              input_par	                      6
                   ----	                   ----	                   ----	                   ----	                     31	                     no	             output_par	                      8
                    int	                      6	                 TK_INT	                   ----	            declaration	                    yes	                   ----	                      0
                 b5b567	                      6	                  TK_ID	                   ----	            declaration	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                     15	                     no	            declaration	                     27
                   ----	                   ----	                   ----	                   ----	                     23	                     no	           declarations	                     25
                 b5b567	                      7	                  TK_ID	                   ----	          singleOrRecId	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                      0	                     no	          singleOrRecId	                     38
                      1	                      7	                 TK_NUM	                      1	   arithmeticExpression	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                      0	                     no	   arithmeticExpression	                     56
                   ----	                   ----	                   ----	                   ----	                     23	                     no	         assignmentStmt	                     37
                     d3	                      8	                  TK_ID	                   ----	          singleOrRecId	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                      0	                     no	          singleOrRecId	                     38
                   0.00	                      8	                TK_RNUM	                   0.00	   arithmeticExpression	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                      0	                     no	   arithmeticExpression	                     56
                   ----	                   ----	                   ----	                   ----	                     23	                     no	         assignmentStmt	                     37
                 b5b567	                      9	                  TK_ID	                   ----	      booleanExpression	                    yes	                   ----	                      0
                     <=	                      9	                  TK_LE	                   ----	      booleanExpression	                    yes	                   ----	                      0
                 d5cc34	                      9	                  TK_ID	                   ----	      booleanExpression	                    yes	                   ----	                      0
                    &&&	                      9	                 TK_AND	                   ----	      booleanExpression	                    yes	                   ----	                      0
                 b5b567	                      9	                  TK_ID	                   ----	      booleanExpression	                    yes	                   ----	                      0
                     <=	                      9	                  TK_LE	                   ----	      booleanExpression	                    yes	                   ----	                      0
                 d5cc34	                      9	                  TK_ID	                   ----	      booleanExpression	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                     26	                     no	      booleanExpression	                     75
                   read	                     10	                TK_READ	                   ----	                 ioStmt	                    yes	                   ----	                      0
                   c3bd	                     10	                  TK_ID	                   ----	          singleOrRecId	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                     50	                     no	          singleOrRecId	                     38
                   ----	                   ----	                   ----	                   ----	                     26	                     no	                 ioStmt	                     49
                     d3	                     11	                  TK_ID	                   ----	          singleOrRecId	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                      0	                     no	          singleOrRecId	                     38
                     d3	                     11	                  TK_ID	                   ----	   arithmeticExpression	                    yes	                   ----	                      0
                      +	                     11	                TK_PLUS	                   ----	   arithmeticExpression	                    yes	                   ----	                      0
                   c3bd	                     11	                  TK_ID	                   ----	   arithmeticExpression	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                      0	                     no	   arithmeticExpression	                     56
                   ----	                   ----	                   ----	                   ----	                     26	                     no	         assignmentStmt	                     37
                 b5b567	                     12	                  TK_ID	                   ----	          singleOrRecId	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                      0	                     no	          singleOrRecId	                     38
                 b5b567	                     12	                  TK_ID	                   ----	   arithmeticExpression	                    yes	                   ----	                      0
                      +	                     12	                TK_PLUS	                   ----	   arithmeticExpression	                    yes	                   ----	                      0
                      1	                     12	                 TK_NUM	                      1	   arithmeticExpression	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                      0	                     no	   arithmeticExpression	                     56
                   ----	                   ----	                   ----	                   ----	                     26	                     no	         assignmentStmt	                     37
                   ----	                   ----	                   ----	                   ----	                     23	                     no	          iterativeStmt	                     45
                     d3	                     14	                  TK_ID	                   ----	             returnStmt	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                     23	                     no	             returnStmt	                     89
                   ----	                   ----	                   ----	                   ----	                     31	                     no	                  stmts	                     17
                   ----	                   ----	                   ----	                   ----	                     19	                     no	               function	                      5
                    int	                     18	                 TK_INT	                   ----	            declaration	                    yes	                   ----	                      0
                     b3	                     18	                  TK_ID	                   ----	            declaration	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                     15	                     no	            declaration	                     27
                   real	                     19	                TK_REAL	                   ----	            declaration	                    yes	                   ----	                      0
                 c4bd56	                     19	                  TK_ID	                   ----	            declaration	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                     15	                     no	            declaration	                     27
                   ----	                   ----	                   ----	                   ----	                     23	                     no	           declarations	                     25
                     b3	                     20	                  TK_ID	                   ----	          singleOrRecId	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                      0	                     no	          singleOrRecId	                     38
                      7	                     20	                 TK_NUM	                      7	   arithmeticExpression	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                      0	                     no	   arithmeticExpression	                     56
                   ----	                   ----	                   ----	                   ----	                     23	                     no	         assignmentStmt	                     37
