                      A	      TK_WITH      TK_THEN      TK_TYPE        TK_EQ    TK_DOLLAR     TK_COMMA      TK_RNUM        TK_CL       TK_AND TK_PARAMETER       TK_DIV        TK_ID    TK_GLOBAL        TK_GE      TK_LIST        TK_IF    TK_RECORD       TK_NUM        TK_NE        TK_LE       TK_DOT     TK_INPUT      TK_MAIN      TK_CALL      TK_PLUS      TK_ELSE   TK_COMMENT  TK_ASSIGNOP     TK_WRITE     TK_COLON     TK_WHILE      TK_REAL      TK_READ       TK_NOT       TK_SQL    TK_OUTPUT       TK_SQR     TK_ENDIF     TK_MINUS       TK_SEM   TK_FIELDIDTK_PARAMETERS        TK_OP  TK_ENDWHILE       TK_MUL     TK_FUNID       TK_INT    TK_RETURN        TK_GT       TK_END        TK_LT        TK_OR TK_ENDRECORD          eps  TK_RECORDID
         assignmentStmt	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           37           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1            0           -1            0           -1           -1            0           -1            0           -1            0           -1            0           -1           -1            0           -1           -1           -1           -1           -1            0           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1
          global_or_not	           -1           -1           -1           -1           29           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           28           -1           -1           -1           -1           -1           -1           -1           -1           -1           29           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           29           -1
      booleanExpression	           -1           -1           -1           -1            0           -1           76            0           -1           -1           -1           76           -1           -1           -1           -1           -1           76           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           77           -1           -1           -1           -1           -1           -1           -1           -1           75           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1
highPrecedenceOperators	           -1           -1           -1           -1            0           -1            0           -1           -1           -1           67            0           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           66           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1
          singleOrRecId	           -1           -1           -1           -1            0           -1           -1            0           -1           -1           -1           38           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1
    constructedDatatype	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           14           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1
               dataType	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           11           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           10           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           10           -1           -1           -1           -1           -1           -1           -1           -1
      primitiveDatatype	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           13           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           12           -1           -1           -1           -1           -1           -1           -1           -1
        typeDefinitions	           -1           -1           19           -1           19           -1           -1           -1           -1           -1           -1           19           -1           -1           -1           19           18           -1           -1           -1           -1           -1           -1           19           -1           -1           -1           -1           19           -1           19           -1           19           -1           19           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           19           -1           -1           -1           -1           -1           19           -1
               more_ids	           -1           -1           -1           -1           94           93           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           94           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           94           -1
                 idList	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           92           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1
           relationalOp	           -1           -1           -1           85            0           -1            0           -1           -1           -1           -1            0           -1           87           -1           -1           -1            0           88           84           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           86           -1           83           -1           -1           -1           -1
                   temp	           -1           -1           -1           -1           73           -1           -1           73           -1           -1           73           -1           -1           -1           -1           -1           -1           -1           -1           -1           74           -1           -1           -1           73           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           73           73           -1           -1           -1           -1           73           -1           -1           -1           -1           -1           -1           -1           -1           73           -1
             output_par	           -1           -1           -1           -1            8           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            7           -1           -1           -1            8           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            8           -1
                   stmt	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           32           -1           -1           -1           34           -1           -1           -1           -1           -1           -1           -1           36           -1            0           -1           -1           35           -1           33           -1           35           -1           36           -1           -1            0           -1           -1           -1           -1           -1            0           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1
           declarations	           -1           -1           25           -1           26           -1           -1           -1           -1           -1           -1           26           -1           -1           -1           26           -1           -1           -1           -1           -1           -1           -1           26           -1           -1           -1           -1           26           -1           26           -1           26           -1           26           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           26           -1           -1           -1           -1           -1           26           -1
              input_par	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            6           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1
              logicalOp	           -1           -1           -1           -1            0           -1           -1           -1           81           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           82           -1           -1           -1
              newallvar	           -1           -1           -1           -1           55           -1           -1           55           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           54           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           55           -1
                program	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            1           -1           -1           -1           -1           -1           -1           -1            1           -1
